clade_name	NCBI_tax_id	reERR5004807_taxonomic_profile	reERR5004806_taxonomic_profile	reERR5004804_taxonomic_profile	reERR5004803_taxonomic_profile	reERR5004799_taxonomic_profile	reERR5004798_taxonomic_profile	reERR5004796_taxonomic_profile	reERR5004793_taxonomic_profile	reERR5004790_taxonomic_profile	reERR5004789_taxonomic_profile	reERR5004787_taxonomic_profile	reERR5004410_taxonomic_profile	reERR5004409_taxonomic_profile	reERR5004408_taxonomic_profile	reERR5004407_taxonomic_profile	reERR5004406_taxonomic_profile	reERR5004405_taxonomic_profile	reERR5004404_taxonomic_profile	reERR5004403_taxonomic_profile	reERR5004402_taxonomic_profile
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halonotius	2157|28890|183963|1644055|1963271|869896	0	0	0	2.491100674401975	0.6524056978728608	0	0	0	0	0.4479928413208532	0.38833427379360425	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halonotius|s__Halonotius_roseus	2157|28890|183963|1644055|1963271|869896|2511997	0	0	0	2.491100674401975	0.6524056978728608	0	0	0	0	0.4479928413208532	0.3860988159390081	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halonotius|s__Halonotius_roseus|t__SGB85996	2157|28890|183963|1644055|1963271|869896|2511997|SGB85996	0	0	0	2.491100674401975	0.6524056978728608	0	0	0	0	0.4479928413208532	0.3860988159390081	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halonotius|s__Halonotius_sp_F13_13	2157|28890|183963|1644055|1963271|869896|2216978	0	0	0	0	0	0	0	0	0	0	0.0017158917803228413	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halonotius|s__Halonotius_sp_F13_13|t__SGB33460	2157|28890|183963|1644055|1963271|869896|2216978|SGB33460	0	0	0	0	0	0	0	0	0	0	0.0017158917803228413	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halonotius|s__Halonotius_terrestris	2157|28890|183963|1644055|1963271|869896|2487750	0	0	0	0	0	0	0	0	0	0	0.0005203934087864353	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halonotius|s__Halonotius_terrestris|t__SGB85997	2157|28890|183963|1644055|1963271|869896|2487750|SGB85997	0	0	0	0	0	0	0	0	0	0	0.0005203934087864353	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halorubrum	2157|28890|183963|1644055|1963271|56688	0	0	0	2.514558159930163	6.067903340661255	2.8104113728144102	1.0178121845027548	0	0	1.6431295131294514	4.074528988581879	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halorubrum|s__Halorubrum_aethiopicum	2157|28890|183963|1644055|1963271|56688|1758255	0	0	0	0	0	0	0	0	0	0	0.025746650049974357	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halorubrum|s__Halorubrum_aethiopicum|t__SGB33512	2157|28890|183963|1644055|1963271|56688|1758255|SGB33512	0	0	0	0	0	0	0	0	0	0	0.025746650049974357	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halorubrum|s__Halorubrum_aquaticum	2157|28890|183963|1644055|1963271|56688|387340	0	0	0	0	0	0	0	0	0	0	0.0036510272066367882	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halorubrum|s__Halorubrum_aquaticum|t__SGB86023	2157|28890|183963|1644055|1963271|56688|387340|SGB86023	0	0	0	0	0	0	0	0	0	0	0.0036510272066367882	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halorubrum|s__Halorubrum_cibi	2157|28890|183963|1644055|1963271|56688|413815	0	0	0	0	0	0	0	0	0	0	0.006074289995723384	0	0	0	0	0	0	0	0	0
