centrifuge	gtdbtk	kraken	metaphlan2	metaphlan3	metaphlan4	metaxa2	mOTUs3	phylophlan3	key
	1260513		1260513	1260513	1260513	1260513			1260513
1263	1263	1263	1263	1263	1263	1263	1263	1263	1263
1263978	1263978	1263978	1263978		1263978		1263978	1263978	1263978
	1265508				1265508		1265508	1265508	1265508
	1265689		1265689		1265689		1265689	1265689	1265689
1266		1266		1266	1266	1266	1266	1266	1266
	1266053				1266053		1266053	1266053	1266053
	1268272			1268272	1268272			1268272	1268272
1269	1269	1269	1269	1269	1269	1269	1269	1269	1269
	1269031			1269031	1269031		1269031	1269031	1269031
	1269048				1269048				1269048
1269201	1269201	1269201	1269201	1269201	1269201		1269201	1269201	1269201
						126956			126956
127	127	127	127	127	127	127	127	127	127
	1270155			1270155	1270155			1270155	1270155
	1273095			1273095	1273095		1273095	1273095	1273095
1273155	1273155	1273155		1273155	1273155	1273155		1273155	1273155
1274351	1274351	1274351		1274351	1274351		1274351	1274351	1274351
	1274363			1274363	1274363		1274363	1274363	1274363
	1274401						1274401		1274401
	127457				127457	127457		127457	127457
1276290	1276290	1276290	1276290	1276290	1276290		1276290	1276290	1276290
	1278221	1278221		1278221	1278221		1278221	1278221	1278221
1279	1279	1279	1279	1279	1279	1279	1279	1279	1279
	1279384		1279384	1279384	1279384		1279384	1279384	1279384
	1279388			1279388	1279388		1279388	1279388	1279388
1283209		1283209	1283209	1283209					1283209
1283211		1283211	1283211	1283211					1283211
1283308		1283308	1283308	1283308					1283308
	1283313		1283313	1283313	1283313		1283313	1283313	1283313
1284657	1284657	1284657		1284657	1284657		1284657	1284657	1284657
1285588		1285588							1285588
1285591		1285591	1285591	1285591					1285591
1285593		1285593	1285593	1285593					1285593
1285597		1285597	1285597	1285597					1285597
1285599		1285599	1285599	1285599					1285599
1287916	1287916	1287916			1287916			1287916	1287916
	1288026		1288026	1288026	1288026		1288026	1288026	1288026
129001	129001	129001	129001	129001	129001	129001	129001	129001	129001
12914	12914	12914	12914	12914	12914	12914	12914	12914	12914
1291539	1291539	1291539		1291539	1291539			1291539	1291539
12916	12916	12916	12916	12916	12916	12916	12916	12916	12916
129337	129337	129337	129337	129337	129337	129337	129337	129337	129337
	1294511				1294511			1294511	1294511
1295327	1295327	1295327		1295327	1295327	1295327	1295327	1295327	1295327
1295378	1295378	1295378			1295378			1295378	1295378
129577	129577	129577	129577	129577	129577	129577	129577	129577	129577
12960	12960	12960	12960	12960	12960	12960	12960	12960	12960
129725		129725	129725	129725					129725
	1297562				1297562		1297562	1297562	1297562
1298	1298	1298	1298	1298	1298	1298	1298	1298	1298
1298630		1298630	1298630	1298630					1298630
1298631		1298631	1298631	1298631					1298631
1298632		1298632	1298632	1298632					1298632
1298634		1298634							1298634
1298653		1298653	1298653	1298653					1298653
		129876	129876	129876					129876
1299297		1299297	1299297	1299297					1299297
1299306		1299306	1299306	1299306					1299306
1299307		1299307	1299307	1299307					1299307
1299308		1299308							1299308
1299309		1299309	1299309	1299309					1299309
1299310		1299310	1299310	1299310					1299310
1299311		1299311	1299311	1299311					1299311
1299312		1299312	1299312	1299312					1299312
1299313		1299313	1299313	1299313					1299313
1299429		1299429	1299429	1299429					1299429
129957	129957	129957	129957	129957	129957	129957	129957	129957	129957
13	13	13	13	13	13	13	13	13	13
1301	1301	1301	1301	1301	1301	1301	1301	1301	1301
							1301080		1301080
1302410	1302410	1302410			1302410			1302410	1302410
	1302778			1302778	1302778			1302778	1302778
13034		13034	13034	13034	13034	13034	13034	13034	13034
	1303912			1303912	1303912		1303912	1303912	1303912
	13075			13075	13075	13075	13075	13075	13075
1307798		1307798							1307798
1307799		1307799	1307799	1307799					1307799
	130795				130795	130795		130795	130795
1308858		1308858	1308858	1308858					1308858
131079	131079	131079	131079	131079	131079	131079	131079	131079	131079
1312873		1312873	1312873	1312873					1312873
	1313115			1313115	1313115		1313115	1313115	1313115
13134	13134	13134	13134	13134	13134	13134	13134	13134	13134
	1314700			1314700	1314700			1314700	1314700
	13159			13159	13159	13159		13159	13159
	1321364			1321364	1321364	1321364	1321364	1321364	1321364
	132406		132406	132406	132406	132406			132406
	13242				13242	13242			13242
	132605			132605	132605	132605	132605	132605	132605
	132607			132607	132607	132607	132607	132607	132607
	1326739			1326739	1326739			1326739	1326739
13275	13275	13275		13275	13275	13275		13275	13275
1329200	1329200	1329200		1329200	1329200		1329200	1329200	1329200
133	133	133	133	133	133	133	133	133	133
1330065		1330065	1330065	1330065					1330065
1330067		1330067	1330067	1330067					1330067
1330069		1330069	1330069	1330069					1330069
1330545	1330545	1330545		1330545	1330545		1330545	1330545	1330545
1330546	1330546	1330546		1330546	1330546		1330546	1330546	1330546
1330547	1330547	1330547	1330547	1330547	1330547		1330547	1330547	1330547
1331051	1331051	1331051	1331051		1331051		1331051	1331051	1331051
1331730	1331730	1331730			1331730				1331730
							1331737	1331737	1331737
133193	133193	133193	133193	133193	133193	133193	133193	133193	133193
				1332112					1332112
	133269				133269	133269		133269	133269
	13334			13334	13334	13334	13334	13334	13334
	1333716			1333716	1333716		1333716	1333716	1333716
1335483	1335483	1335483	1335483	1335483	1335483	1335483	1335483	1335483	1335483
1335631	1335631	1335631		1335631	1335631		1335631	1335631	1335631
1335745	1335745	1335745	1335745	1335745	1335745		1335745	1335745	1335745
133925	133925	133925	133925	133925	133925	133925	133925	133925	133925
					1340414				1340414
