X.mOTUs2_clade	reSRR9320187	reSRR9320188	reSRR9320191	reSRR9320192	reSRR9320193	reSRR9320194	reSRR9320195	reSRR9320196	reSRR9320197	reSRR9320198	reSRR9320199
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Bradyrhizobium|s__Bradyrhizobium lablabi/ottawaense	0	0	0	0.0105334521	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Bradyrhizobium|s__Bradyrhizobium paxllaeri	0	0	0	0	0	0	0.0017764433	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Bradyrhizobium|s__Bradyrhizobium sp. Tv2a-2	0	0.0160236875	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Bradyrhizobium|s__Bradyrhizobium sp. URHA0002	0	0	0.0448193597	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Bradyrhizobium|s__Bradyrhizobium species incertae sedis [ext_mOTU_v3_29447]	0	0	0	0.0063607803	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Bradyrhizobium|s__Bradyrhizobium species incertae sedis [ext_mOTU_v3_32022]	0	0	0	0	0	0	0.0049208955	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Rhodopseudomonas	0	0.0124866862	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Rhodopseudomonas|s__Rhodopseudomonas palustris/pseudopalustris	0	0.0124866862	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Rhizobiales fam. incertae sedis	0	0	0	0	0	0	0.0052870336	0	0.0181276188	0.0119662758	0.0136183161
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Rhizobiales fam. incertae sedis|g__Rhizobiales gen. incertae sedis	0	0	0	0	0	0	0.0052870336	0	0.0181276188	0.0119662758	0.0136183161
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Rhizobiales fam. incertae sedis|g__Rhizobiales gen. incertae sedis|s__Rhizobiales species incertae sedis [ext_mOTU_v3_31834]	0	0	0	0	0	0	0.0052870336	0	0.0181276188	0.0119662758	0.0136183161
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Xanthobacteraceae	0	0	0	0	0	0	0	0	0.0111019006	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Xanthobacteraceae|g__Xanthobacteraceae gen. incertae sedis	0	0	0	0	0	0	0	0	0.0111019006	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Xanthobacteraceae|g__Xanthobacteraceae gen. incertae sedis|s__Xanthobacteraceae species incertae sedis [ext_mOTU_v3_15033]	0	0	0	0	0	0	0	0	0.0111019006	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	0	0	0	0	0.0280646137	0.0309643154	0.1955637107	0.087525512	0.0738707086	0.0341227966	0.0473901677
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae	0	0	0	0	0.0280646137	0.0309643154	0.1955637107	0.087525512	0.0738707086	0.0341227966	0.0473901677
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acidiphilium	0	0	0	0	0.0280646137	0.0309643154	0.1874568263	0.0810857748	0.056514899	0.0225530359	0.032878529
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acidiphilium|s__Acidiphilium angustum/rubrum	0	0	0	0	0.0280646137	0.0309643154	0.1874568263	0.0810857748	0.056514899	0.0225530359	0.032878529
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acidocella	0	0	0	0	0	0	0.0081068844	0.0064397372	0.0173558097	0.0115697607	0.0145116387
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acidocella|s__Acidocella facilis	0	0	0	0	0	0	0.0081068844	0.0064397372	0.0173558097	0.0115697607	0.0145116387
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	0.1069779744	0.0536653566	0.0570013659	0.0983255254	0.1183336469	0.1025379048	0.4881449737	0.5896989205	0.5665273321	0.6060125944	0.5944838273
