X.mOTUs2_clade	reERR5004402	reERR5004403	reERR5004404	reERR5004405	reERR5004406	reERR5004407	reERR5004408	reERR5004409	reERR5004410	reERR5004787	reERR5004789	reERR5004790	reERR5004793	reERR5004796	reERR5004798	reERR5004799	reERR5004803	reERR5004804	reERR5004806	reERR5004807
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halolamina	0	0	0	0	0	0	0	0	0	0.0120923381	0	0	0	0	0	0.0354421656	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halolamina|s__Halolamina pelagica	0	0	0	0	0	0	0	0	0	0.0008988689	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halolamina|s__Halolamina pelagica	0	0	0	0	0	0	0	0	0	0.001173663	0	0	0	0	0	0.0152257513	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halolamina|s__Halolamina rubra	0	0	0	0	0	0	0	0	0	0.0014265187	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halolamina|s__Halolamina sediminis	0	0	0	0	0	0	0	0	0	0.0067955499	0	0	0	0	0	0.0202164142	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halolamina|s__Halolamina sp. CBA1230	0	0	0	0	0	0	0	0	0	0.0017977377	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Haloparvum	0	0	0	0	0	0	0	0	0	0.0011709252	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Haloparvum|s__Haloparvum sedimenti	0	0	0	0	0	0	0	0	0	0.0011709252	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halorubraceae gen. incertae sedis	0	0	0	0	0	0	0	0	0	0.0041193335	0	0	0	0	0	0.0184718506	0.018243048	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halorubraceae gen. incertae sedis|s__Halorubraceae species incertae sedis [ext_mOTU_v3_28594]	0	0	0	0	0	0	0	0	0	0.0021256042	0	0	0	0	0	0.0184718506	0.018243048	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halorubraceae gen. incertae sedis|s__Halorubraceae species incertae sedis [ext_mOTU_v3_28609]	0	0	0	0	0	0	0	0	0	0.0019937293	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halorubrum	0	0	0	0	0	0	0	0	0	0.7428189892	0.3910358603	0	0	0.5070952649	0.6332783554	0.757344467	0.523961719	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halorubrum|s__Halorubrum aethiopicum	0	0	0	0	0	0	0	0	0	0.0147273922	0	0	0	0	0	0.0159254029	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halorubrum|s__Halorubrum aidingense	0	0	0	0	0	0	0	0	0	0.0024641926	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halorubrum|s__Halorubrum californiense	0	0	0	0	0	0	0	0	0	0.0118931117	0	0	0	0.041225351	0	0	0.0243420175	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halorubrum|s__Halorubrum coriense	0	0	0	0	0	0	0	0	0	0.0075839717	0	0	0	0	0	0.0125265217	0.0210763196	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Halorubraceae|g__Halorubrum|s__Halorubrum ezzemoulense	0	0	0	0	0	0	0	0	0	0.0100943746	0	0	0	0.0324880378	0	0.0142934592	0.0109724251	0	0	0
